Date,VOO,SPY,IVV,VXX,HYG,LQD,IEF,CAR,CVNA,AEVA,CYN,IBIT,MSTR
2010-03-26,,88.33023,88.61392,,36.90045,60.97860,64.28059,11.33478,,,,,8.50000
2010-03-29,,88.89095,89.10596,,36.94625,60.92664,64.18699,11.58181,,,,,8.55100
2010-03-30,,88.95155,89.15139,,36.90876,60.96129,64.25180,11.39179,,,,,8.55600
2010-03-31,,88.64846,88.82587,,36.79220,60.99010,64.40291,10.92623,,,,,8.50700
2010-04-01,,89.25462,89.48447,,36.70326,61.12275,64.26937,11.27777,,,,,8.54700
2010-04-05,,89.98200,90.20363,,36.68650,60.56091,63.69210,12.00936,,,,,8.58100
2010-04-06,,90.19415,90.37773,,36.92559,60.70571,63.87970,12.75044,,,,,8.59300
2010-04-07,,89.67892,89.90085,,36.98013,61.01270,64.27659,13.12098,,,,,8.62700
2010-04-08,,89.98955,90.17333,,37.04303,60.89684,64.20449,13.76705,,,,,8.59900
2010-04-09,,90.58055,90.76380,,37.09756,60.93739,64.27659,14.16610,,,,,8.54600
2010-04-12,,90.72453,90.93790,,37.10595,61.11111,64.44975,14.00458,,,,,8.44200
2010-04-13,,90.79273,91.02118,,37.20663,61.33127,64.57248,14.01408,,,,,8.48600
2010-04-14,,91.82315,92.01284,,37.30732,61.27908,64.39924,14.52714,,,,,8.52000
2010-04-15,,91.89893,92.11124,,37.40795,61.38337,64.50755,14.25161,,,,,8.47400
2010-04-16,,90.43660,90.68054,,37.10595,61.52818,64.89722,13.52003,,,,,8.42900
2010-04-19,,90.77757,90.98331,,37.03464,61.37183,64.73846,13.53903,,,,,8.39500
2010-04-20,,91.58827,91.80843,,37.43314,61.50499,64.76732,13.66254,,,,,8.67100
2010-04-21,,91.42159,91.64188,,37.43734,61.71931,64.97665,13.91907,,,,,8.71700
2010-04-22,,91.69431,91.87656,,37.32826,61.58033,64.82511,14.00458,,,,,8.74900
2010-04-23,,92.29292,92.45942,,37.57156,61.56868,64.64462,13.93807,,,,,8.77800
2010-04-26,,91.94436,92.14155,,37.57156,61.59769,64.68793,15.58176,,,,,8.83700
2010-04-27,,89.76984,89.98405,,37.09756,61.63819,65.29416,14.85018,,,,,8.79300
2010-04-28,,90.45175,90.65784,,37.12274,61.74247,64.96219,14.61265,,,,,8.86800
2010-04-29,,91.57311,91.77062,,37.37862,61.89888,65.07044,15.01169,,,,,9.00100
2010-04-30,,90.01987,90.26415,,37.50025,62.15371,65.46736,14.36562,,,,,7.66000
2010-05-03,,91.18671,91.41483,,37.49604,62.17232,65.29575,14.32762,,,,,7.60900
2010-05-04,,89.04247,89.29523,,37.11155,62.24791,65.73730,13.39651,,,,,7.45900
2010-05-05,,88.51210,88.74261,,36.60459,61.98038,65.99063,12.68393,,,,,7.24500
2010-05-06,,85.57229,85.69193,,35.69624,60.95664,66.71445,11.71482,,,,,6.98900
2010-05-07,,84.29942,84.37473,,35.69202,61.15445,66.53352,11.15426,,,,,6.88300
2010-05-10,,88.01202,88.19756,,36.35953,61.53833,66.02686,11.90484,,,,,7.13100
2010-05-11,,87.76200,87.93263,,36.31727,61.60234,66.10646,12.48441,,,,,7.28500
2010-05-12,,88.98943,89.15139,,36.76089,61.57906,65.93996,12.82645,,,,,7.62000
2010-05-13,,87.88321,88.09161,,36.53275,61.75934,66.12096,12.69343,,,,,7.76100
2010-05-14,,86.29207,86.50947,,36.32150,61.74191,66.54801,12.06636,,,,,7.70900
2010-05-17,,86.33753,86.51706,,36.27504,61.84662,66.40324,11.85734,,,,,7.73800
2010-05-18,,85.16315,85.38914,,36.19899,62.04433,66.88818,11.18276,,,,,7.70800
2010-05-19,,84.67822,84.88952,,35.98775,62.07924,66.94606,10.78372,,,,,7.71400
2010-05-20,,81.48082,81.70255,,34.91462,61.93962,67.59750,9.90012,,,,,7.46800
2010-05-21,,82.67038,82.81534,,35.61593,61.83498,67.63374,10.52719,,,,,7.64000
2010-05-24,,81.60966,81.80853,,35.67086,61.99783,67.63374,10.47968,,,,,7.60000
2010-05-25,,81.69294,81.87666,,35.62863,61.70116,67.86534,10.13764,,,,,7.61400
2010-05-26,,81.20047,81.34676,,35.20192,61.74191,67.72783,10.44168,,,,,7.49600
2010-05-27,,83.92056,84.11736,,35.68776,61.42202,67.08364,11.78133,,,,,7.82700
2010-05-28,,82.86739,83.04243,,35.74694,61.34055,67.38760,11.25877,,,,,7.70600
2010-06-01,,81.47324,81.63441,,35.57790,61.28978,67.47477,10.67921,,,,,7.50900
2010-06-02,,83.59475,83.76916,,35.76098,61.50586,67.09003,10.91673,,,,,7.61000
2010-06-03,,83.88268,84.05682,,35.77375,61.30731,66.99566,11.30628,,,,,7.75100
2010-06-04,,80.93530,81.10449,,35.57364,61.68112,67.92476,10.47968,,,,,7.46000
2010-06-07,,79.92759,80.12799,,35.32673,61.93808,68.20058,9.87161,,,,,7.31500
2010-06-08,,80.78378,80.89257,,35.38207,61.93808,67.99010,9.51057,,,,,7.22600
2010-06-09,,80.35189,80.48378,,35.45871,61.96144,67.99735,9.72910,,,,,7.27300
2010-06-10,,82.70070,82.92891,,35.82055,61.70446,67.36588,10.38467,,,,,7.49900
2010-06-11,,83.10227,83.26196,,35.87167,61.93225,67.79409,10.51769,,,,,7.57000
2010-06-14,,82.97347,83.17869,,35.91849,61.81540,67.73608,10.79322,,,,,7.58100
2010-06-15,,84.86008,85.02578,,36.26759,61.73949,67.52553,11.29678,,,,,7.73700
2010-06-16,,84.82977,85.01818,,36.29739,61.80373,67.71427,10.88823,,,,,7.81300
2010-06-17,,84.96615,85.16960,,36.56984,62.21262,68.03362,10.94524,,,,,7.86100
2010-06-18,,85.05828,85.24528,,36.72735,62.20678,67.89571,10.64120,,,,,7.85100
2010-06-21,,84.81465,84.98792,,36.85934,62.36446,67.84492,10.65070,,,,,7.91600
2010-06-22,,83.41387,83.61774,,36.59538,62.66824,68.25138,10.33717,,,,,7.76800
2010-06-23,,83.15503,83.32574,,36.56984,62.93106,68.50544,10.45118,,,,,7.76600
2010-06-24,,81.77711,82.00263,,36.31867,62.67993,68.44736,10.23266,,,,,7.57100
2010-06-25,,82.11974,82.32960,,36.48471,62.78504,68.55618,10.63170,,,,,7.59900
2010-06-28,,81.86087,82.03304,,36.56559,63.12963,69.04256,10.54619,,,,,7.63700
2010-06-29,,79.33339,79.52370,,36.19947,63.10049,69.34013,9.67209,,,,,7.55100
2010-06-30,,78.57972,78.67204,,36.14413,63.35161,69.44180,9.33005,,,,,7.50900
2010-07-01,,78.22955,78.48195,,36.31694,63.42201,69.41119,9.18754,,,,,7.43200
2010-07-02,,77.80323,78.01810,,36.32553,63.24020,69.28751,8.72198,,,,,7.44800
2010-07-06,,78.31329,78.51237,,36.61290,63.50406,69.45486,8.27543,,,,,7.45800
2010-07-07,,80.77987,80.98369,,37.05463,63.54517,69.23655,8.94051,,,,,7.49500
2010-07-08,,81.57919,81.76689,,37.22617,63.38681,69.06918,9.76710,,,,,7.49700
2010-07-09,,82.18824,82.36002,,37.14039,63.31055,68.88723,10.14715,,,,,7.54300
2010-07-12,,82.24152,82.44368,,37.11036,63.38681,69.00362,9.86211,,,,,7.72200
2010-07-13,,83.48241,83.70595,,37.39771,63.42201,68.66165,10.16615,,,,,7.92400
2010-07-14,,83.47481,83.67556,,37.36339,63.70354,69.00362,9.90012,,,,,7.86800
2010-07-15,,83.49764,83.72115,,37.41916,63.81494,69.36031,9.98563,,,,,7.76300
2010-07-16,,81.19858,81.40189,,37.19188,63.92640,69.76050,9.39656,,,,,7.56900
2010-07-19,,81.67815,81.90377,,37.31623,63.91465,69.57855,9.49157,,,,,7.72400
2010-07-20,,82.58411,82.77827,,37.61644,63.98500,69.65137,9.81461,,,,,8.05500
2010-07-21,,81.51070,81.73650,,37.59927,64.29585,70.09530,9.48207,,,,,7.92500
2010-07-22,,83.33016,83.52344,,37.93381,64.21376,69.70961,10.03313,,,,,8.00000
2010-07-23,,84.05337,84.23827,,38.10534,64.29585,69.48396,10.28966,,,,,8.15000
2010-07-26,,84.92884,85.15075,,38.12251,64.35449,69.46213,10.51769,,,,,8.14000
2010-07-27,,84.92126,85.11269,,38.07105,64.13749,69.22200,10.37517,,,,,8.29200
2010-07-28,,84.37308,84.55760,,37.98955,64.36622,69.52034,10.52719,,,,,8.15800
2010-07-29,,83.96203,84.14700,,38.10534,64.38969,69.66592,11.28727,,,,,8.00500
2010-07-30,,83.94679,84.16982,,38.00672,64.68880,70.07343,11.72432,,,,,8.29900
2010-08-02,,85.84240,86.02521,,38.20488,64.55159,69.85673,11.99986,,,,,8.43800
2010-08-03,,85.43129,85.60697,,38.20488,64.71056,70.18508,11.80033,,,,,7.92600
2010-08-04,,86.00224,86.22292,,38.18332,64.51039,69.89323,11.73383,,,,,7.91300
2010-08-05,,85.91089,86.12408,,38.16603,64.62815,70.22886,10.37517,,,,,7.73800
2010-08-06,,85.56071,85.75908,,38.15742,64.99907,70.68856,10.16615,,,,,7.74200
2010-08-09,,86.01752,86.22292,,38.08831,65.21110,70.67396,10.31816,,,,,7.74000
2010-08-10,,85.55312,85.78950,,38.07536,65.12862,71.03146,10.16615,,,,,7.61900
2010-08-11,,83.20834,83.41698,,37.57879,65.12272,71.43279,9.69109,,,,,7.51200
2010-08-12,,82.69829,82.88471,,37.44927,64.89314,71.25039,9.50107,,,,,7.46500
2010-08-13,,82.45470,82.64899,,37.61335,65.14629,71.55683,9.29205,,,,,7.43000
2010-08-16,,82.41663,82.62617,,37.66085,65.86469,72.07487,9.18754,,,,,7.35900
2010-08-17,,83.42912,83.62231,,37.80336,65.75867,71.71001,9.47257,,,,,7.59200
2010-08-18,,83.58140,83.76679,,37.86810,65.81756,71.63708,9.51057,,,,,7.59100
2010-08-19,,82.12730,82.35244,,37.79039,65.88821,71.95810,9.16854,,,,,7.59200
2010-08-20,,81.86087,82.04827,,37.88107,66.00599,71.72466,8.92151,,,,,7.69300
2010-08-23,,81.54874,81.74412,,37.88107,66.14726,71.81950,8.81700,,,,,7.69000
2010-08-24,,80.33831,80.56546,,37.68241,66.30034,72.38863,8.61747,,,,,7.62300
2010-08-25,,80.65044,80.82401,,37.63062,66.42403,72.06031,8.75049,,,,,7.72700
2010-08-26,,80.10992,80.29933,,37.57879,66.48291,72.38863,8.63648,,,,,7.64300
2010-08-27,,81.35082,81.53120,,37.57450,65.88235,71.55683,9.01652,,,,,7.75400
2010-08-30,,80.17084,80.38297,,37.64359,66.31215,72.10409,8.77899,,,,,7.75700
2010-08-31,,80.17084,80.44382,,37.63062,66.53595,72.42510,8.66498,,,,,7.79300
2010-09-01,,82.56888,82.75546,,38.03727,66.03590,71.90360,9.26355,,,,,7.99900
2010-09-02,,83.33776,83.53867,,38.09817,65.95316,71.60368,9.66259,,,,,8.11700
2010-09-03,,84.41878,84.62606,,38.21124,65.45668,71.19402,9.89062,,,,,8.19900
2010-09-07,,83.46722,83.71357,,38.15469,65.94134,71.75730,9.68159,,,,,8.17200
2010-09-08,,84.05337,84.23064,,38.16339,65.81131,71.55974,9.70059,,,,,8.25400
2010-09-09,77.21444,84.44163,84.63367,,38.31560,65.46848,70.99654,9.72910,,,,,8.26100
2010-09-10,77.56496,84.86795,85.11269,,38.41565,65.51574,70.79176,9.71010,,,,,8.23000
2010-09-13,78.54044,85.81193,86.04803,,38.61572,65.60441,71.12820,10.40367,,,,,8.40300
2010-09-14,78.52520,85.75868,85.97958,,38.60699,65.91177,71.48660,10.52719,,,,,8.39100
2010-09-15,78.72338,86.08601,86.29898,,38.57219,65.80540,71.23795,10.53669,,,,,8.43000
2010-09-16,78.69287,86.06319,86.24571,,38.63744,65.59852,70.98927,10.45118,,,,,8.40400
2010-09-17,78.76911,86.09533,86.26094,,38.70703,65.81131,71.15012,10.45118,,,,,8.44300
